name,labelhash,namehash
chisinau.eth,0x7975a6b988080a97b0c09280a4ef4065f83b6426756cb58ff61d3aff3c8fd184,0x6112aac708bf82fcc5a7ea5c3a64d378cd9e271ff9d21f1dad3d53b5a07682d5
colombo.eth,0x3e06fad2b607078f84de7abab81e69e0e1df89634d37d41d073d20430a517d20,0x23b6e5734da9925b107317221a37f8b44b84c6f45efa5d0768704b92919ba9ec
conakry.eth,0x29e1eeb77c559ea2cd17225d755adaf5e87a10963f7a0b647663d58bd3bb696b,0x7b50e55aefc32c0f70d7e736c2cd98c388790fe62a6328245325f0b6b33afce2
copenhagen.eth,0xdb32d40145dbd16d99f811ec9cff4684de564143d5a44758fdd59bc836b016e5,0x1e49523bbdb30a1561ecefbb4c8383a89e020371a68a990e1ed870b14bd6affe
dakar.eth,0x19c831b45013f3c476e11a63ae23b545afa2dce19ca76365c7c86335683773ca,0x105ca0b0f421df170b3104e8680314f6135435fbb1aac3fabbd3b8449190b0c9
damascus.eth,0xa033ae3b24100f0daa66f6d5f235f77327b4378db2d66251d06b5e5c8b526dd4,0xc78ba122bce55f8b56224ca53c5a57e3345fc06e17d4b3fd1580d0164983f9ca
dhaka.eth,0x2381bbcfeb1719c4ab1dbdfa5fff71374ee56151001633a56ec479b51f686880,0xfca6337354e8f431095b3363a28725c013360f6cb6af1a84501c9358cde73a90
dili.eth,0xdbfbec3b4b0181b39a24f15ff32b1f5fd06b87427e454c96c88a0f09f655b041,0x42fd9756c9f87c377ac8aa0fc510b0169c306e861d62a4e75adcd08566480bee
djibouti.eth,0x1e54b083cc05ed4a8b87884b5e30fbcfc99572b3a5b27112e71f4f314cfcb131,0x3e8ce2c60d2d07d8a0063da122862496e9c5c92db7ef8e2b3260dc0c93310eae
dodoma.eth,0x3afb2b85fced29a0d1e71ec0ba45b2ff6e17f1e8961ba40cf2aeec9214a835ea,0xcd1fb3c44a8a0d91a3161bbfb0682e93962d926f2812b06bafa270d15274edb1
doha.eth,0x33f6dc905ebe603dbe6abc524243318eb6c1702bdafc883b0638018dbf7b207b,0x30fed19f6e210a83be5b60cffaee5104ea55f03e20555cd3ba2b2115884294be
dublin.eth,0x592a2aeac6004bc05f009709f168feff06f1e0120d7a5b85616e71c8b94073b1,0xc98461753a54d3398de9d1da92e27d7acd0e6eb7742f8e78ae767365f745d575
dushanbe.eth,0x71b078c813f978212258cdbbfb6b6fe12c31e2e826ee63f8a5dadacc6a65c6f8,0xff76aeadc93300d3909e9d67e288acf4985130fd029a85f3b4b313f438d11e53
eastjerusalem.eth,0xe8fc24b4ddb5bd4e18fbefe0d3d49508ac101a1f052af537fc55e1ff3118e36b,0x19c7dd9808558ec6c48c08ec823efbd3108e5c4ea3c65fc910c7eb8a7183ace0
freetown.eth,0xbfba4dd71e383464253dfc503ca4d922a0f3c350f4f9f647868f3332d3715c56,0xe35ecd662ad9c337486005c84c866f2277e9a6808d464ead32bce1666bd3dc7d
funafuti.eth,0x44623f547a1f89881a052789f1722fd0ef9684625ffd587ab3456a940044832c,0x2460fcc63904f4883ce405653e9ffc6c9e221d63687892e777956594d3b96526
gaborone.eth,0xa03beaecf7da534b57e348182c6d14d3b06f55388ca6087891c896c6104011e0,0xb26ea21a7604828245731baf6543eed1644d74a8744c608cee15d2e281b0239d
georgetown.eth,0x0d95d79907c76583111afa10da3dc9ea8186d7412fbdeabc101519574d552cc4,0x22e479e7e4a6a35c63152a4b8310c4a418959c547d763eef21cb341febe43f21
gitegabujumbura.eth,0x88bbb70e519eb1f0ea7ad27a9834a98326fca6862527e22ff526c515f03bf8c1,0x44d1efdb87778354b394af5c4e7e522624054ccde767cf77e7a624e1f4bdba9f
guatemalacity.eth,0x864ab45a0967d3421093a4e39f6aabd2e4746ae54a40ba999733661a43fd5765,0xbd0317faadc31d7416ade111cb3e78061ae3a408fea8b50c91272dbf815e6dce
hanoi.eth,0xe5837b5a5dc05c0bcb6d1329d2b8aeb993cc1e76144bce7b5105c147bff44609,0x4d290b836b8dc485dbf1626104fe37a45c20b1457a2ca2dec1c1acaf318e6e5d
harare.eth,0xbabad964f9f29de4cf692e0f1d602e7c4dc460114f1ded51cd792f649a46f125,0xe93a009fdc80cd32359d3cef74fe4619e3aefd2d389de18808761d2f44688446
havana.eth,0x0fca3fdec205be61e78ac53eb83e3e08077841458edbc5ac809712f2c1c3dce9,0xc5e016f63b6c3a4a5d76450d4a41c176bf1b183eea9988fa1c930860f6bddc13
helsinki.eth,0xd88bdb2e2d34e15c7bf5274c1c095f594f9ebdb33eb2a7eaf3e7d8e53fbce71e,0x93de94383996b9fef175631732f7f7dca7965c77aa17bbdd9585d30900f19301
honiara.eth,0x681b3b2d8a6d08d197f25e13af75f64da3c628c77d1c07178dcf1b669eab232d,0x6653c07f5d67335e0ba51d1c3d7825e16799010a302806f35c7b81eaeaf575fa
