tag,labelhash,namehash
education.eth,0x033d214a7c63ad0ebd322697d0ae9662f548cb21a426f70f837bd9e1b007ef08,0x72f558b9373f264fec8e803d0675c11ed1ed4708b508baf46320d0e1c8a6bd0d
mountain.eth,0x9fd5c4a34499d9da4dcc90693f79f3c651d2cbdf8171efa8f2922be762f86922,0xf90abf95bddc689584eba0b5097ad4c64a2098d8cc6483291ab7d296920b841d
cattle.eth,0xbd5d2b0b7d66318ae973e1fee2c260bb5aba12550f75d3703589bd73e29a056f,0xf070b39aa89ed02fad0c403e614b05e61879f532c730567bcf6742eb50d4950f
heart.eth,0x601179b026949a93e5fe316204eff4b8b0d5e64cc9ffb5262a652c03f073315d,0xc9966b22027f8ca66e22889dd4ef6a9953c437d32bb90892c01f822f9c8f485c
iron.eth,0x6e67e5c10410644f7af94d359c63e9ffbd3f81ba7b31b6b4c297caabc8e6fe18,0xb44a579305075ec4f42f0c1e3b1c7ccd7a0f46cfa68e25f87f2eb3d1305d68c7
bread.eth,0xeb1593ebe3e66efa0ef3a93b6dcf8f1664816058dcf034003073959c679471ff,0x3274bc15a9d0d75f47b94cdae554e4328b4d32d7a749e37efff4285b1512f518
law.eth,0xafc199c45ed9a375de1022e2299456f198f68c37508ebfef3d2ec80724a19b65,0x8f10d1616b1d34901b06fb53fdc77d230ad176e1db35c6a424358a606a475d1c
atom.eth,0x1681fd95cd84bf021049ec3c935fc39419a40e0244c47d5f613a5b703bf6c2b9,0xa04e55d7b91390379487c24c1b0dcc1321344dbae5901efc53092423597ea4ed
medicine.eth,0x1d3845624ceb5d5db7a1282a6ab06f8f4492ac8cd10a111154e7e732c8bcc32f,0x7ef469c5520d9e9ecc91727aa39e91c2e13a9be3ed1092ce92708da61ec33c3d
day.eth,0x2ab76b0887e8ce12cbe9ac63716ba53a9b1c28bdb2898a1d35cc946478371e5b,0x1213dddce506a5bfc0b153e2984033a61e5aee64dbebd938a05a02bfa10cf368
continent.eth,0x008846fb07693dbd4154cd10654ed2ea623729e776cabd0a238799b5ea61ef2e,0x86148fe787b5425626ea185f10c1c5e6160c59fe68eb89e34f15499039cd36fa
health.eth,0x9005b4bf3e8c5705ff2b172ed7c0ff76f0096efed0943457e640b66da01b97d2,0x3d3ab2d1094d673af68c0b7f06e7c17e34608a30a7a974b220c56d7f7d327f8f
fire.eth,0x3f631d566f4db432ca320a6932a0a30ed043d45d49871ce3d6daa3d8ea615ee4,0xa6678c963886deac4f63785e38c53659f3e06c5485f69ea7bc374d0933c313c1
year.eth,0xb4c11afbf040b745c793a21ce8f80b58beee915e9f3585540554fb4cfaec01da,0x2624b37612b101554331899300ba949008016234cdc4ef4735f8d170990c4e58
