"rank_number","name"
"48105","0000011111000000"
"48120","19690330"
"48123","19760409"
"48836","1234888"
"48978","00000000000"
"49041","87654321"
"49066","2000000"
"49261","138138138"
"49332","2885288"
"49588","66688888"
"49660","44444444444"
"50204","5566778"
"50683","3330333"
"50689","1230123"
"50691","99996666"
"51071","20150423"
"51130","5666666"
"51132","66669999"
"51226","888888888888888888888888888888"
"51546","5555555"
"51682","11111111111111"
"51684","19911205"
"51686","518518888"
"51981","8888866"
"51983","88888866"
"51988","88888886"
"51989","10001000"
"51992","9666666"
"51994","9999997"
"51995","9999994"
"51998","8898888"
"52000","6866666"
"52015","6686666"
"52022","6666866"
"52146","7337777"
"52346","4008365365"
"52457","4007777777"
"52466","95105105"
"52474","4006065500"
"52490","18999999999"
"53515","8886666"
"53567","111111111"
"53592","18181818"
"53659","1236788"
"53778","666666666666"
"53796","314159265"
"53942","2010000"
"54098","7779777"
"54100","7771000"
"54102","9994999"
"54103","9185918"
"54223","10101010101"
"54258","2122222222"
"54260","8888822"
"54386","4008206666"
"54477","100000000"
"54774","1234567890987654321"
"55160","18888888888"
"55448","123456789"
"55824","51885188"
"55987","3456789"
"55988","43214321"
"55993","13666666666"
"55995","15999999999"
"55998","15222222222"
"56009","7000000"
"56084","66666688"
"56416","0101010"
"57010","1880188"
"57011","1882188"
"57173","6999999"
"57275","7777777777"
"57305","44444444"
"57469","6666666666666"
"57477","66666688888"
"57720","11223344"
"57721","12341234"
"58084","3344521"
"58118","5213344"
"58119","67896789"
"58120","22223333"
"58991","0808080"
"59084","0000666"
"59086","0000005"
"59256","8880088"
"59396","20000000"
"59475","6666888"
"59495","62478888"
"59497","62559888"
"59501","62798088"
"59502","62791888"
"59503","62758888"
"59504","65458888"
"59506","0988888"
"59508","6252888"
"59511","0522222222"
"59516","0988168"
"59591","0000001"
"59770","1234560"
"59775","0987654"
"59872","01062552135"
"60067","4008306666"
"60338","5000008"
"60340","80808080"
"60351","808080808"
"60353","8800000"
"60860","11112222"
"60866","18881888"
"60873","1991999"
"61011","2147483647"
"61137","9996999"
"61141","1116111"
"61679","16881688"
"62267","3141593"
"62303","5088888"
"62337","5888888888"
"62364","16666666666"
"62410","1235813"
"62412","11235813"
"62424","8800888"
"62426","8888800"
"62718","1889188"
"62739","9889188"
"62744","8889188"
"63495","44445555"
"64036","09041976"
"64157","19880103"
"64238","15882424"
"64518","8883888"
"64858","3141592653"
"65200","0000088"
"65302","2017178"
"65337","12250416"
"65342","233333333"
"65608","13048736667"
"65826","0005000"
"65838","8008888"
"66317","66666666"
"66618","55555555"
"67276","1235789"
"67278","1236987"
"67281","1001000"
"67300","0896523"
"67458","23452345"
"67459","56785678"
"67462","44556677"
"67539","16888888"
"68212","1300000"
"68213","1688888888"
"68219","876543210"
"68307","8888887"
"68311","6279888"
"68314","1180811"
"68317","8881689"
"68450","8486600"
"68840","4567654"
"68876","99998888"
"68888","361580688"
"69371","51131420"
"70058","18801858168"
"70061","18508492495"
"70063","15575125738"
"70064","13585858585"
"70065","13874939595"
"70066","13599996666"
"70067","13712345678"
"70068","13488888888"
"70069","13088888888"
"70070","17737777777"
"70071","13599999999"
"70073","13579246810"
"70074","15000000000"
"70244","76543210"
"70678","8668888"
"70869","9527001"
"70926","99999998"
"70927","9999998"
"70932","2222222"
"70975","01085194615"
"71077","9888888"
"71228","987654321"
"71230","0123456"
"71508","6688888"
"71662","99999999999"
"71732","15555555555"
"71734","0000006"
"71867","15937425058"
"71924","1258001"
"72046","1588888"
"72074","6666666666"
"72078","333333333"
"72090","11111111111"
"72159","19760802"
"72167","2222222222"
"72180","9999666"
"72187","9996666"
"72207","77777777777"
"72229","52010000"
"72533","5201413"
"72640","6186188"
"72645","9189188"
"72647","8765432"
"72655","1422214"
"72709","16816888"
"73013","5588888"
"73017","15151515"
"73677","8186004444"
"73757","66886688"
"73807","0000010"
"73879","8881688"
"73941","7758258"
"74013","1111111"
"74106","999999999999"
"74205","11118888"
"74378","01046661515"
"74774","000000000"
"75387","3000000"
"75445","52099999"
"75451","666777888"
"75453","520520520"
"75475","1777777"
"75476","4008205555"
"75500","9188888"
"75511","88888888888888888"
"75516","9999999999999"
"75547","1666666"
"75550","67899999"
"75551","34567890"
"75556","2777777"
"75574","777788888"
"75616","123456123456"
"75646","6669999"
"75652","1488888"
"75714","8777777"
"75715","9777777"
"75808","6666777"
"75810","8080808"
"75814","9999988"
"75831","78787878"
"75936","5201688"
"76030","1314999"
"76102","1988888"
"76266","0000002"
"76775","6275888"
"77879","222222222"
"77927","2222224"
"77928","9876543"
"77951","666666666666666"
"78119","7777666"
"78250","888808888"
"78445","14159265"
"78453","14159265358979"
"78477","5209999"
"78544","5208888"
"78636","20170423"
"78840","20161127"
"78885","5788888"
"78888","8999999"
"78892","99889988"
"78896","2999999"
"78900","9999992"
"78921","13998988888"
"78924","12131415"
