tag,bestEntity,bestNameUsed,bestSitelinks
rogue,http://www.wikidata.org/entity/Q838097,Rogue,28
thing,http://www.wikidata.org/entity/Q910204,Thing,28
garfield,http://www.wikidata.org/entity/Q767120,Garfield,28
carnage,http://www.wikidata.org/entity/Q1753328,Carnage,28
scorpion,http://www.wikidata.org/entity/Q584674,Scorpion,27
vichitravirya,http://www.wikidata.org/entity/Q1987279,Vichitravirya,27
falstaff,http://www.wikidata.org/entity/Q1233109,Falstaff,27
worf,http://www.wikidata.org/entity/Q826155,Worf,27
numitor,http://www.wikidata.org/entity/Q660623,Numitor,27
turnus,http://www.wikidata.org/entity/Q633549,Turnus,27
glorfindel,http://www.wikidata.org/entity/Q753773,Glorfindel,27
thingol,http://www.wikidata.org/entity/Q734128,Thingol,27
maleficent,http://www.wikidata.org/entity/Q1660555,Maleficent,27
eevee,http://www.wikidata.org/entity/Q1263559,Eevee,27
fuleco,http://www.wikidata.org/entity/Q605159,Fuleco,27
mothra,http://www.wikidata.org/entity/Q1423458,Mothra,27
leela,http://www.wikidata.org/entity/Q121841,Leela,27
iceman,http://www.wikidata.org/entity/Q838088,Iceman,27
spawn,http://www.wikidata.org/entity/Q839858,Spawn,27
electro,http://www.wikidata.org/entity/Q2297886,Electro,27
deadshot,http://www.wikidata.org/entity/Q511769,Deadshot,27
deathstroke,http://www.wikidata.org/entity/Q1181328,Deathstroke,27
rokurokubi,http://www.wikidata.org/entity/Q1458863,Rokurokubi,26
eeyore,http://www.wikidata.org/entity/Q1799013,Eeyore,26
ghostface,http://www.wikidata.org/entity/Q2444720,Ghostface,26
sumitra,http://www.wikidata.org/entity/Q2046297,Sumitra,26
jasmine,http://www.wikidata.org/entity/Q951483,Jasmine,26
kratos,http://www.wikidata.org/entity/Q2291154,Kratos,26
columbina,http://www.wikidata.org/entity/Q17302,Columbina,26
piglet,http://www.wikidata.org/entity/Q836719,Piglet,26
balin,http://www.wikidata.org/entity/Q780499,Balin,26
tarpeia,http://www.wikidata.org/entity/Q684439,Tarpeia,26
krillin,http://www.wikidata.org/entity/Q757141,Krillin,26
domo,http://www.wikidata.org/entity/Q1272738,Domo,26
rodan,http://www.wikidata.org/entity/Q780746,Rodan,26
gohan,http://www.wikidata.org/entity/Q752269,Gohan,26
gargamel,http://www.wikidata.org/entity/Q920224,Gargamel,26
fuwa,http://www.wikidata.org/entity/Q848360,Fuwa,26
elektra,http://www.wikidata.org/entity/Q913359,Elektra,26
colossus,http://www.wikidata.org/entity/Q60002,Colossus,26
katara,http://www.wikidata.org/entity/Q1758871,Katara,26
ultron,http://www.wikidata.org/entity/Q2474195,Ultron,26
morbius,http://www.wikidata.org/entity/Q1087722,Morbius,25
scar,http://www.wikidata.org/entity/Q1977325,Scar,25
jerry,http://www.wikidata.org/entity/Q1962394,Jerry,25
jigsaw,http://www.wikidata.org/entity/Q1985548,Jigsaw,25
nezha,http://www.wikidata.org/entity/Q547105,Nezha,25
ekalavya,http://www.wikidata.org/entity/Q1987473,Ekalavya,25
bumblebee,http://www.wikidata.org/entity/Q305245,Bumblebee,25
zoidberg,http://www.wikidata.org/entity/Q1648321,Zoidberg,25
frieza,http://www.wikidata.org/entity/Q757313,Frieza,25
narrator,http://www.wikidata.org/entity/Q58363586,narrator,25
elmo,http://www.wikidata.org/entity/Q762250,Elmo,25
gamora,http://www.wikidata.org/entity/Q2721152,Gamora,25
juggernaut,http://www.wikidata.org/entity/Q841372,Juggernaut,25
sokka,http://www.wikidata.org/entity/Q2060477,Sokka,25
rhino,http://www.wikidata.org/entity/Q572626,Rhino,25
zuko,http://www.wikidata.org/entity/Q1997841,Zuko,25
mysterio,http://www.wikidata.org/entity/Q2283843,Mysterio,25
falcon,http://www.wikidata.org/entity/Q672591,Falcon,25
